Title,Url,Ingredients,,,,,,,,,,,,,,,
Spinach and Artichoke Wonderpot,https://www.budgetbytes.com/spinach-artichoke-wonderpot/,mushrooms,artichoke hearts,garlic,small yellow onion,vegetable broth,olive oil,fettuccine,dried oregano,dried thyme,freshly cracked black pepper,fresh or frozen spinach,crushed red pepper (optional),feta (optional),,,
Lentils with Creamy Mushroom Gravy,https://www.budgetbytes.com/lentils-with-creamy-mushroom-gravy/,garlic,mushrooms,olive oil,brown lentils,dried thyme,rubbed sage,Freshly cracked black pepper,vegetable broth,coconut milk,salt to taste (about 1/2 tsp),,,,,,
Olive Oil Mashed Potatoes,https://www.budgetbytes.com/olive-oil-mashed-potatoes/,russet potatoes,salt (for cooking water),garlic,extra virgin olive oil,dried rosemary,"vegetable broth, warmed",freshly cracked black pepper,salt to taste (about 3/4 tsp),,,,,,,,
Chili Cornbread Skillet,https://www.budgetbytes.com/chili-cornbread-skillet/,cooking oil,garlic,yellow onion,jalapeño (optional),fire roasted diced tomatoes,tomato paste,"beans (kidney, pinto, black)",chili powder*,cumin,oregano,salt,water,shredded cheddar,,,
Cinnamon Pecan Sandies,https://www.budgetbytes.com/cinnamon-pecan-sandies/,"butter, room temperature",powdered sugar,vanilla extract,water,salt,flour,pecans,cinnamon,,,,,,,,
Vegetable Barley Soup,https://www.budgetbytes.com/vegetable-barley-soup/,yellow onion,garlic,olive oil,carrots (about 4),diced tomatoes,pearled barley,dried basil,dried oregano,freshly cracked pepper,vegetable broth,russet potato (about 3/4 lb.),frozen green beans,frozen corn,frozen peas,lemon juice,fresh parsley (optional garnish)
Teriyaki Meatball Bowls,https://www.budgetbytes.com/teriyaki-meatball-bowls/,ground pork ,egg ,breadcrumbs ,"garlic, minced",grated fresh ginger ,soy sauce ,"green onions, sliced ",,,,,,,,,
Curried Cabbage,https://www.budgetbytes.com/curried-cabbage/,garlic,grated fresh ginger,yellow onion,carrots (about 1/2 lb.),cabbage (about 4 cups sliced),olive oil,curry powder (mild or hot),frozen peas,butter,salt and pepper to taste,cilantro,,,,,
Garlic Butter Baked Chicken Thighs,https://www.budgetbytes.com/garlic-butter-baked-chicken-thighs/,butter,"garlic, minced",paprika,salt,freshly cracked pepper,fresh lemon,chopped fresh parsley (optional),"boneless, skinless chicken thighs (about 1.25 lbs.)",,,,,,,,
