title, url, img, ingredient
"Cajun Salmon Burgers","https://www.budgetbytes.com/cajun-salmon-burgers/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Cajun-Salmon-Burgers-top-bun-347x260.jpg","mayonnaise"
"Cajun Salmon Burgers","https://www.budgetbytes.com/cajun-salmon-burgers/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Cajun-Salmon-Burgers-top-bun-347x260.jpg","coarse ground mustard"
"Cajun Salmon Burgers","https://www.budgetbytes.com/cajun-salmon-burgers/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Cajun-Salmon-Burgers-top-bun-347x260.jpg","green onion, sliced"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","yellow onion"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","garlic"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","grated fresh ginger"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","olive oil (or coconut oil)"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","turmeric"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","cumin"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","crushed red pepper"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","carrots (about 3)"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","celery (about 4 stalks)"
